gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,unique_id
F,South Region,Lower Than A Level,,35-55,0,60,N,Pass,BBB_2013B_556898
F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,BBB_2013B_556959
F,North Western Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013B_556987
F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,BBB_2013B_556990
F,South West Region,HE Qualification,70-80%,0-35,0,60,N,Pass,BBB_2013B_556992
F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,BBB_2013B_556997
F,South West Region,HE Qualification,40-50%,0-35,0,60,N,Pass,BBB_2013B_556999
F,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013B_557006
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,BBB_2013B_557024
F,East Anglian Region,HE Qualification,80-90%,35-55,0,120,N,Pass,BBB_2013B_557032
M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,BBB_2013B_557057
F,South West Region,HE Qualification,20-30%,35-55,0,60,N,Pass,BBB_2013B_557060
F,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,BBB_2013B_557145
F,Wales,Lower Than A Level,0-10%,0-35,0,60,N,Pass,BBB_2013B_557220
F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,BBB_2013B_557285
F,North Region,A Level or Equivalent,10-20,0-35,0,75,N,Fail,BBB_2013B_557308
F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013B_557325
F,South West Region,A Level or Equivalent,50-60%,0-35,0,90,N,Fail,BBB_2013B_557351
F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013B_557451
F,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,BBB_2013B_557528
F,East Midlands Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,BBB_2013B_557594
F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013B_557622
F,East Midlands Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013B_557758
F,South East Region,HE Qualification,10-20,0-35,0,60,N,Pass,BBB_2013B_557775
M,North Region,Lower Than A Level,80-90%,0-35,0,60,N,Fail,BBB_2013B_557803
F,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,Y,Fail,BBB_2013B_557827
F,London Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013B_557865
F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,BBB_2013B_557935
F,Wales,A Level or Equivalent,40-50%,0-35,0,70,N,Pass,BBB_2013B_557968
F,London Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_557979
F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_558024
F,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,BBB_2013B_558040
F,Yorkshire Region,HE Qualification,40-50%,35-55,0,120,N,Pass,BBB_2013B_558042
F,South East Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,BBB_2013B_558066
F,South East Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,BBB_2013B_558068
F,West Midlands Region,Lower Than A Level,70-80%,0-35,0,60,N,Pass,BBB_2013B_558075
F,Yorkshire Region,A Level or Equivalent,0-10%,0-35,0,60,Y,Fail,BBB_2013B_558092
F,South East Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013B_558099
F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,BBB_2013B_558113
F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,BBB_2013B_558114
F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_558168
F,South West Region,Lower Than A Level,70-80%,0-35,0,60,N,Fail,BBB_2013B_558247
F,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013B_558250
M,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_558373
F,Wales,HE Qualification,40-50%,0-35,0,60,N,Pass,BBB_2013B_558435
F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,BBB_2013B_558602
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013B_558622
F,London Region,Lower Than A Level,20-30%,35-55,0,60,N,Fail,BBB_2013B_558662
F,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,BBB_2013B_558689
F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_558703
F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013B_558747
F,Scotland,Lower Than A Level,30-40%,0-35,0,60,N,Fail,BBB_2013B_558769
F,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,BBB_2013B_558809
F,Scotland,Lower Than A Level,40-50%,0-35,0,60,N,Fail,BBB_2013B_558820
F,East Midlands Region,HE Qualification,70-80%,0-35,0,60,N,Fail,BBB_2013B_558903
F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Fail,BBB_2013B_558955
F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,BBB_2013B_558965
F,Scotland,Lower Than A Level,40-50%,0-35,0,60,N,Pass,BBB_2013B_559031
F,North Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,BBB_2013B_559173
F,London Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,BBB_2013B_559180
F,Scotland,Lower Than A Level,60-70%,35-55,0,60,N,Pass,BBB_2013B_559253
F,South East Region,Lower Than A Level,60-70%,0-35,0,60,Y,Pass,BBB_2013B_559350
F,South Region,Lower Than A Level,80-90%,0-35,0,60,N,Pass,BBB_2013B_559389
M,South Region,HE Qualification,80-90%,0-35,0,120,N,Pass,BBB_2013B_559452
F,South Region,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,BBB_2013B_559458
F,South East Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,BBB_2013B_559475
F,North Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,BBB_2013B_559495
F,Wales,A Level or Equivalent,80-90%,0-35,0,60,N,Pass,BBB_2013B_559595
F,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013B_559603
F,East Midlands Region,HE Qualification,80-90%,35-55,0,60,N,Pass,BBB_2013B_559606
F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,Pass,BBB_2013B_559608
F,East Midlands Region,A Level or Equivalent,50-60%,35-55,0,60,N,Fail,BBB_2013B_559610
F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,BBB_2013B_559611
F,East Midlands Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013B_559651
F,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,Pass,BBB_2013B_559744
F,Scotland,Lower Than A Level,40-50%,0-35,0,60,N,Fail,BBB_2013B_559808
F,Wales,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,BBB_2013B_559989
F,East Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,Fail,BBB_2013B_560012
F,South Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,BBB_2013B_560075
F,Scotland,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013B_560160
F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,N,Pass,BBB_2013B_560170
M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,BBB_2013B_560208
F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Pass,BBB_2013B_560319
F,North Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,BBB_2013B_560455
F,South East Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013B_560468
F,South West Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013B_560891
F,Wales,HE Qualification,50-60%,35-55,0,120,N,Pass,BBB_2013B_560968
M,Wales,HE Qualification,60-70%,35-55,0,120,N,Pass,BBB_2013B_560970
F,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,BBB_2013B_561138
F,South East Region,HE Qualification,60-70%,0-35,0,120,N,Pass,BBB_2013B_561161
M,North Region,A Level or Equivalent,10-20,0-35,0,120,N,Pass,BBB_2013B_561164
F,South East Region,A Level or Equivalent,30-40%,35-55,0,120,N,Pass,BBB_2013B_561166
F,South East Region,HE Qualification,80-90%,35-55,0,120,N,Pass,BBB_2013B_561167
M,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,BBB_2013B_561343
F,South West Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,BBB_2013B_561437
F,South West Region,Lower Than A Level,0-10%,0-35,0,120,N,Pass,BBB_2013B_561444
F,South West Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,BBB_2013B_561445
F,South West Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,BBB_2013B_561448
F,South West Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,BBB_2013B_561452
F,South West Region,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,BBB_2013B_561455
F,South West Region,HE Qualification,70-80%,0-35,0,120,N,Pass,BBB_2013B_561458
F,South West Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,BBB_2013B_561459
F,South West Region,Lower Than A Level,,0-35,0,120,N,Pass,BBB_2013B_561461
M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Fail,BBB_2013B_561711
M,Wales,Lower Than A Level,90-100%,0-35,0,60,N,Pass,BBB_2013B_561713
M,Wales,Lower Than A Level,80-90%,0-35,0,60,N,Fail,BBB_2013B_561715
F,Wales,Lower Than A Level,80-90%,0-35,0,60,N,Pass,BBB_2013B_561716
M,Wales,Lower Than A Level,80-90%,0-35,0,60,N,Fail,BBB_2013B_561718
F,West Midlands Region,Lower Than A Level,0-10%,0-35,0,120,N,Pass,BBB_2013B_562465
M,Wales,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,BBB_2013B_562483
F,North Western Region,HE Qualification,10-20,0-35,0,60,N,Pass,BBB_2013B_562489
M,Wales,A Level or Equivalent,20-30%,0-35,0,120,Y,Fail,BBB_2013B_562495
M,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013B_563330
F,London Region,A Level or Equivalent,60-70%,0-35,0,120,N,Pass,BBB_2013B_563363
F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Pass,BBB_2013B_563874
F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,BBB_2013B_563877
F,East Midlands Region,HE Qualification,50-60%,35-55,0,120,N,Pass,BBB_2013B_563878
F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,BBB_2013B_563879
F,North Western Region,HE Qualification,30-40%,35-55,0,60,N,Fail,BBB_2013B_565870
F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,Y,Fail,BBB_2013B_630346
F,East Anglian Region,Lower Than A Level,90-100%,35-55,0,60,N,Pass,BBB_2013B_1008675
F,South Region,Lower Than A Level,50-60%,35-55,0,120,N,Fail,BBB_2013B_1098728
M,Scotland,A Level or Equivalent,10-20,35-55,0,60,Y,Pass,BBB_2013B_1436591
F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,BBB_2013B_1480800
M,Wales,HE Qualification,70-80%,35-55,0,60,N,Pass,BBB_2013B_1493476
F,South Region,A Level or Equivalent,90-100%,35-55,2,60,N,Pass,BBB_2013B_1521540
F,Scotland,A Level or Equivalent,30-40%,35-55,0,90,N,Pass,BBB_2013B_1574398
F,London Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,BBB_2013B_1659662
F,East Midlands Region,Lower Than A Level,60-70%,35-55,1,180,N,Pass,BBB_2013B_1678401
F,East Anglian Region,Lower Than A Level,80-90%,35-55,1,60,Y,Pass,BBB_2013B_1721462
F,West Midlands Region,A Level or Equivalent,80-90%,35-55,0,120,N,Pass,BBB_2013B_1728437
F,Ireland,Lower Than A Level,50-60%,35-55,1,210,N,Pass,BBB_2013B_1747892
M,South East Region,A Level or Equivalent,0-10%,0-35,1,60,N,Pass,BBB_2013B_1753965
F,Wales,HE Qualification,50-60%,35-55,0,120,N,Pass,BBB_2013B_1770733
M,Yorkshire Region,HE Qualification,60-70%,35-55,1,120,N,Fail,BBB_2013B_1776925
F,Yorkshire Region,Lower Than A Level,40-50%,35-55,1,120,N,Pass,BBB_2013B_1789199
M,South Region,HE Qualification,20-30%,35-55,1,120,N,Pass,BBB_2013B_1797614
F,London Region,Lower Than A Level,10-20,35-55,0,120,N,Pass,BBB_2013B_1847146
F,East Anglian Region,Lower Than A Level,90-100%,35-55,1,120,N,Pass,BBB_2013B_1903527
F,South West Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013B_1912438
F,South East Region,HE Qualification,50-60%,35-55,0,60,N,Pass,BBB_2013B_1923618
F,London Region,A Level or Equivalent,50-60%,35-55,1,60,N,Fail,BBB_2013B_1930254
F,East Midlands Region,A Level or Equivalent,90-100%,35-55,0,90,N,Pass,BBB_2013B_1930367
F,Scotland,A Level or Equivalent,50-60%,35-55,1,120,N,Pass,BBB_2013B_1937864
F,West Midlands Region,Lower Than A Level,30-40%,35-55,0,60,N,Pass,BBB_2013B_1971393
F,North Region,A Level or Equivalent,,35-55,0,60,N,Pass,BBB_2013B_1997796
F,South East Region,Lower Than A Level,60-70%,35-55,0,120,N,Pass,BBB_2013B_2023366
F,London Region,Lower Than A Level,10-20,35-55,3,120,Y,Pass,BBB_2013B_2035022
F,South Region,A Level or Equivalent,60-70%,0-35,0,90,N,Pass,BBB_2013B_2092834
F,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,BBB_2013B_2097916
F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,Y,Pass,BBB_2013B_2132811
F,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,BBB_2013B_2173572
F,North Western Region,A Level or Equivalent,40-50%,35-55,0,90,N,Fail,BBB_2013B_2205383
M,Wales,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,BBB_2013B_2210318
F,East Anglian Region,HE Qualification,70-80%,35-55,0,60,N,Fail,BBB_2013B_2216178
F,South Region,A Level or Equivalent,90-100%,35-55,0,120,Y,Pass,BBB_2013B_2231614
M,Scotland,HE Qualification,30-40%,35-55,0,120,N,Pass,BBB_2013B_2236738
F,East Anglian Region,Lower Than A Level,60-70%,0-35,1,120,N,Fail,BBB_2013B_2243551
F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Fail,BBB_2013B_2244724
F,South Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,BBB_2013B_2249372
F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,BBB_2013B_2254619
F,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,BBB_2013B_2269480
F,South West Region,A Level or Equivalent,50-60%,35-55,2,60,N,Fail,BBB_2013B_2279538
M,Yorkshire Region,Lower Than A Level,50-60%,0-35,2,60,N,Fail,BBB_2013B_2280038
F,South East Region,Lower Than A Level,50-60%,35-55,2,120,N,Pass,BBB_2013B_2288607
F,South East Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,BBB_2013B_2290090
F,South Region,A Level or Equivalent,80-90%,35-55,0,90,Y,Pass,BBB_2013B_2291598
F,South East Region,Lower Than A Level,30-40%,35-55,1,120,Y,Pass,BBB_2013B_2293443
F,West Midlands Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,BBB_2013B_2296749
F,South West Region,A Level or Equivalent,20-30%,35-55,1,60,Y,Fail,BBB_2013B_2303034
M,Scotland,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013B_2308528
F,South West Region,HE Qualification,30-40%,35-55,0,120,N,Pass,BBB_2013B_2322342
F,Wales,HE Qualification,50-60%,0-35,0,120,N,Pass,BBB_2013B_2327072
F,West Midlands Region,HE Qualification,0-10%,35-55,0,120,N,Pass,BBB_2013B_2336550
F,Yorkshire Region,Lower Than A Level,20-30%,0-35,5,120,N,Fail,BBB_2013B_2340190
F,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,120,N,Pass,BBB_2013B_2376628
F,South West Region,HE Qualification,50-60%,35-55,0,60,N,Pass,BBB_2013B_2377567
F,East Midlands Region,No Formal quals,0-10%,0-35,0,60,N,Pass,BBB_2013B_2380539
F,Scotland,HE Qualification,0-10%,35-55,0,120,N,Pass,BBB_2013B_2384819
F,Wales,HE Qualification,0-10%,35-55,0,60,N,Fail,BBB_2013B_2395222
F,Scotland,A Level or Equivalent,0-10%,35-55,0,60,Y,Fail,BBB_2013B_2425333
F,North Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,BBB_2013B_2439201
M,East Anglian Region,Lower Than A Level,40-50%,0-35,1,120,N,Pass,BBB_2013B_2442685
F,South West Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,BBB_2013B_2444088
F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,120,N,Fail,BBB_2013B_2444703
M,East Anglian Region,Lower Than A Level,0-10%,35-55,2,60,N,Fail,BBB_2013B_2445949
F,South West Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013B_2446144
F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,Y,Pass,BBB_2013B_2458984
F,Yorkshire Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,BBB_2013B_2464963
F,West Midlands Region,A Level or Equivalent,30-40%,35-55,1,60,N,Fail,BBB_2013B_2470672
F,South East Region,A Level or Equivalent,50-60%,0-35,0,120,N,Pass,BBB_2013B_2474493
F,Scotland,Lower Than A Level,90-100%,35-55,4,120,N,Pass,BBB_2013B_2475780
F,South East Region,Lower Than A Level,80-90%,0-35,1,60,N,Pass,BBB_2013B_2476649
M,London Region,Lower Than A Level,10-20,35-55,0,120,Y,Pass,BBB_2013B_2481224
F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,BBB_2013B_2481765
F,Wales,Lower Than A Level,40-50%,0-35,0,60,N,Pass,BBB_2013B_2483179
F,South East Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,BBB_2013B_2483568
F,London Region,HE Qualification,50-60%,35-55,0,60,N,Pass,BBB_2013B_2487541
M,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,60,N,Fail,BBB_2013B_2498182
F,Wales,A Level or Equivalent,30-40%,0-35,1,120,N,Pass,BBB_2013B_2498299
F,South West Region,HE Qualification,30-40%,35-55,0,210,N,Pass,BBB_2013B_2517864
F,Wales,A Level or Equivalent,40-50%,0-35,0,120,N,Pass,BBB_2013B_2518653
F,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,60,N,Fail,BBB_2013B_2521745
F,Scotland,HE Qualification,70-80%,0-35,0,120,N,Pass,BBB_2013B_2522093
F,East Anglian Region,Lower Than A Level,10-20,0-35,2,120,N,Pass,BBB_2013B_2524127
F,North Western Region,A Level or Equivalent,10-20,35-55,1,120,Y,Pass,BBB_2013B_2528966
F,East Anglian Region,Lower Than A Level,10-20,35-55,0,120,N,Pass,BBB_2013B_2531031
F,Yorkshire Region,A Level or Equivalent,10-20,35-55,2,60,N,Fail,BBB_2013B_2535788
F,North Western Region,HE Qualification,50-60%,35-55,0,120,N,Fail,BBB_2013B_2540362
F,South Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,BBB_2013B_2541120
F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,90,N,Fail,BBB_2013B_2560219
F,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Fail,BBB_2013B_2568958
F,Yorkshire Region,HE Qualification,40-50%,35-55,0,120,N,Pass,BBB_2013B_2569163
F,Ireland,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013B_2571447
F,London Region,Lower Than A Level,0-10%,0-35,0,150,N,Fail,BBB_2013B_2572118
F,East Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Fail,BBB_2013B_2578567
F,South West Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013B_2579459
F,Wales,HE Qualification,10-20,35-55,0,120,N,Pass,BBB_2013B_2580439
F,South East Region,Lower Than A Level,40-50%,0-35,0,120,N,Pass,BBB_2013B_2581528
F,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,120,N,Fail,BBB_2013B_2598220
F,North Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,BBB_2013B_2602809
F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,BBB_2013B_2608235
F,Scotland,Lower Than A Level,30-40%,35-55,5,120,N,Fail,BBB_2013B_2608453
F,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,BBB_2013B_2612483
F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,90,Y,Pass,BBB_2013B_2616787
F,East Midlands Region,HE Qualification,80-90%,35-55,0,120,N,Pass,BBB_2013B_2617596
F,North Western Region,Lower Than A Level,10-20,35-55,0,180,N,Pass,BBB_2013B_2617999
M,South Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,BBB_2013B_2620178
M,London Region,Lower Than A Level,20-30%,35-55,0,60,N,Pass,BBB_2013B_2622465
F,South Region,Lower Than A Level,20-30%,35-55,1,120,N,Pass,BBB_2013B_2635505
F,Scotland,HE Qualification,90-100%,35-55,0,60,N,Pass,BBB_2013B_2635829
F,Wales,A Level or Equivalent,90-100%,35-55,0,120,N,Pass,BBB_2013B_2639611
F,East Midlands Region,HE Qualification,40-50%,35-55,0,120,N,Pass,BBB_2013B_2641393
F,South Region,HE Qualification,70-80%,35-55,0,120,N,Pass,BBB_2013B_2642029
F,South East Region,Lower Than A Level,80-90%,0-35,1,180,N,Pass,BBB_2013B_2645061
F,London Region,A Level or Equivalent,20-30%,0-35,1,120,N,Pass,BBB_2013B_2649947
M,West Midlands Region,A Level or Equivalent,70-80%,35-55,1,120,N,Pass,BBB_2013B_2654302
M,East Anglian Region,Lower Than A Level,90-100%,0-35,0,120,N,Fail,BBB_2013B_2654411
F,South West Region,A Level or Equivalent,40-50%,35-55,0,120,N,Fail,BBB_2013B_2664301
F,Wales,No Formal quals,30-40%,0-35,0,60,N,Pass,BBB_2013B_2685831
M,Scotland,Lower Than A Level,50-60%,0-35,0,60,N,Pass,BBB_2013B_2692384
M,Wales,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,BBB_2013J_23798
M,North Western Region,Lower Than A Level,40-50%,35-55,0,120,Y,Fail,BBB_2013J_27759
F,South West Region,A Level or Equivalent,10-20,0-35,0,60,Y,Pass,BBB_2013J_30091
F,South West Region,Lower Than A Level,60-70%,35-55,0,120,N,Pass,BBB_2013J_31849
F,Scotland,HE Qualification,80-90%,0-35,1,120,N,Pass,BBB_2013J_37622
F,East Midlands Region,A Level or Equivalent,60-70%,0-35,0,60,N,Fail,BBB_2013J_38234
F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,120,N,Pass,BBB_2013J_48040
F,West Midlands Region,Lower Than A Level,10-20,0-35,0,60,N,Pass,BBB_2013J_48503
F,South West Region,Lower Than A Level,30-40%,35-55,1,60,N,Pass,BBB_2013J_52797
F,East Midlands Region,Lower Than A Level,50-60%,35-55,1,90,N,Pass,BBB_2013J_52899
F,London Region,A Level or Equivalent,20-30%,35-55,0,60,Y,Pass,BBB_2013J_55026
F,South Region,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013J_56340
F,South East Region,A Level or Equivalent,60-70%,35-55,1,60,N,Pass,BBB_2013J_56789
F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,BBB_2013J_57079
F,London Region,Lower Than A Level,20-30%,0-35,1,120,N,Fail,BBB_2013J_63044
F,South East Region,HE Qualification,70-80%,0-35,0,60,N,Fail,BBB_2013J_68556
F,South Region,HE Qualification,80-90%,0-35,0,120,N,Pass,BBB_2013J_73489
F,Wales,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_74585
F,South West Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,BBB_2013J_80717
F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,Pass,BBB_2013J_84812
F,Wales,HE Qualification,50-60%,35-55,1,60,N,Fail,BBB_2013J_86291
F,Wales,HE Qualification,70-80%,35-55,0,60,N,Pass,BBB_2013J_90243
M,South East Region,Lower Than A Level,60-70%,0-35,0,180,N,Pass,BBB_2013J_96475
F,Wales,HE Qualification,70-80%,35-55,0,60,N,Pass,BBB_2013J_97567
F,Scotland,HE Qualification,70-80%,35-55,0,60,N,Pass,BBB_2013J_98268
F,London Region,Lower Than A Level,20-30%,35-55,0,60,Y,Pass,BBB_2013J_98720
F,Scotland,HE Qualification,40-50%,35-55,0,120,N,Pass,BBB_2013J_105527
F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Pass,BBB_2013J_105851
F,North Western Region,A Level or Equivalent,0-10%,35-55,0,60,N,Pass,BBB_2013J_105883
F,Scotland,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,BBB_2013J_106588
F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,BBB_2013J_108118
F,London Region,Lower Than A Level,30-40%,35-55,3,60,N,Fail,BBB_2013J_108760
F,South West Region,Lower Than A Level,,0-35,0,60,N,Pass,BBB_2013J_109372
F,South West Region,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,BBB_2013J_111942
F,West Midlands Region,Lower Than A Level,30-40%,0-35,2,60,N,Pass,BBB_2013J_119898
M,North Region,Lower Than A Level,10-20,0-35,0,90,N,Pass,BBB_2013J_123716
M,Yorkshire Region,Lower Than A Level,40-50%,35-55,0,60,N,Pass,BBB_2013J_124909
M,South Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,BBB_2013J_128386
F,South Region,A Level or Equivalent,90-100%,35-55,1,120,N,Pass,BBB_2013J_128889
F,Scotland,Lower Than A Level,60-70%,0-35,3,60,N,Pass,BBB_2013J_131051
F,Scotland,Lower Than A Level,20-30%,0-35,2,60,N,Pass,BBB_2013J_134563
F,East Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,BBB_2013J_138289
F,Wales,Lower Than A Level,0-10%,0-35,1,60,N,Fail,BBB_2013J_138920
F,Scotland,Lower Than A Level,40-50%,0-35,1,60,Y,Pass,BBB_2013J_139549
F,East Anglian Region,Lower Than A Level,20-30%,0-35,1,60,N,Pass,BBB_2013J_141949
F,Wales,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,BBB_2013J_146165
F,Ireland,Lower Than A Level,80-90%,0-35,0,120,N,Pass,BBB_2013J_146600
F,Wales,Lower Than A Level,20-30%,0-35,0,60,N,Fail,BBB_2013J_151800
F,West Midlands Region,A Level or Equivalent,10-20,0-35,3,60,N,Fail,BBB_2013J_151917
F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,N,Fail,BBB_2013J_153704
F,South East Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,BBB_2013J_154011
F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,BBB_2013J_156311
F,East Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,BBB_2013J_157060
M,Yorkshire Region,Lower Than A Level,80-90%,35-55,1,60,N,Pass,BBB_2013J_157795
